Rank,STATE,RECYCLING_RATE_WITHOUT_FFP,ALUMINUM_CANS,STEEL_CANS,GLASS_BOTTLES_AND_JARS,PET_BOTTLES,HDPE_BOTTLES,RIGID_PLASTICS,CLOSED_LOOP_RECYCLING_WITHOUT_FFP,MATERIAL_VALUE_CAPTURED_USDM_WITHOUT_FFP,MATERIAL_VALUE_CAPTURED_PCT_WITHOUT_FFP,RECYCLING_REFUND_STATE
43,ALABAMA,0.08,0.15,0.09,0.1,0.05,0.08,0.05,0.03,8,0.1,FALSE
47,ALASKA,0.06,0.13,0.08,0.07,0.03,0.03,0.02,0.02,0,,FALSE
34,ARIZONA,0.12,0.14,0.16,0.14,0.1,0.17,0.1,0.06,14,0.14,FALSE
39,ARKANSAS,0.11,0.11,0.11,0.16,0.05,0.14,0.07,0.03,5,0.1,FALSE
7,CALIFORNIA,0.41,0.77,0.29,0.49,0.56,0.24,0.3,0.33,380,0.46,TRUE
41,COLORADO,0.11,0.16,0.07,0.12,0.11,0.13,0.1,0.05,17,0.13,FALSE
10,CONNECTICUT,0.39,0.47,0.34,0.45,0.45,0.19,0.28,0.31,28,0.34,TRUE
14,DELAWARE,0.26,0.27,0.27,0.3,0.12,0.29,0.17,0.11,4,0.23,FALSE
27,FLORIDA,0.17,0.16,0.27,0.22,0.06,0.19,0.07,0.08,70,0.14,FALSE
31,GEORGIA,0.14,0.18,0.21,0.17,0.08,0.15,0.09,0.07,29,0.15,FALSE
20,HAWAII,0.22,0.55,0.04,0.2,0.37,0.15,0.22,0.19,0,,TRUE
33,IDAHO,0.13,0.15,0.14,0.15,0.13,0.17,0.11,0.04,4,0.15,FALSE
24,ILLINOIS,0.19,0.22,0.22,0.25,0.1,0.17,0.1,0.11,44,0.17,FALSE
16,INDIANA,0.24,0.15,0.32,0.26,0.16,0.4,0.19,0.14,26,0.23,FALSE
4,IOWA,0.45,0.62,0.27,0.68,0.38,0.17,0.17,0.41,36,0.4,TRUE
18,KANSAS,0.23,0.23,0.22,0.3,0.16,0.18,0.13,0.1,9,0.18,FALSE
40,KENTUCKY,0.11,0.15,0.09,0.15,0.08,0.1,0.07,0.06,7,0.11,FALSE
49,LOUISIANA,0.04,0.11,0.05,0.02,0.04,0.06,0.05,0.02,6,0.08,FALSE
