STATE,MRF_FACILITIES,TRANSFER_FACILITIES,METALS_RECYCLING_FACILITIES,GLASS_RECYCLING_FACILITY,PLASTIC_RECYCLING_FACILITIES,PAPER_RECYCLING_FACILITIES,ELECTRONICS_RECYCLING_FACILITIES,NUMBER_OF_SECONDARY_GLASS_PROCESSORS,EPR_PACKAGING,EWASTE_LAW,BOTTLE_BILL,PLASTIC_BAG_BAN,ENVIRONMENTAL_AND_NATURAL_RESOURCES_DEPARTMENT_SPENDING_2015,MEDIAN_HOUSEHOLD_INCOME,PARTY_OF_GOVERNOR_MAYOR_FOR_DC,POPULATION,POPULATION_DENSITY_2020_PER_SQ_MILE,PERCENT_BACHELORS_OR_HIGHER,PERCENT_ADVANCED_DEGREE,UNEMPLOYMENT_AUG2025,POVERTY_RATE_PCT
Alabama,3,0,46,0,3,1,3,0,0,0,0,0,595886002.0,65560.0,R,5157699.0,99.0,27.4,10.8,2.9,11.3
Alaska,0,0,9,0,0,0,0,0,0,0,0,0,87330800.0,91260.0,R,740133.0,1.3,32.8,11.9,4.7,6.8
Arizona,3,120,87,0,2,1,25,1,0,0,0,0,208160500.0,84700.0,D,7582384.0,62.9,32.4,12.6,4.1,8.9
Arkansas,11,104,101,0,1,0,4,0,0,0,0,0,51888439.0,64840.0,R,3088354.0,58.0,25.3,9.4,3.8,11.5
California,70,461,191,2,21,5,96,6,1,1,1,1,9108000000.0,100600.0,D,39431263.0,253.6,36.2,14.0,5.5,8.4
Colorado,10,59,73,0,2,0,16,3,1,0,0,0,776681293.0,106500.0,D,5957493.0,56.0,44.4,17.0,4.2,5.9
Connecticut,7,149,29,0,3,0,3,1,0,1,1,1,26971049.0,99240.0,D,3675069.0,744.0,42.1,18.9,3.8,6.8
Delaware,1,3,1,0,0,0,1,0,0,0,0,1,134164400.0,85860.0,D,1051917.0,508.3,35.6,15.0,4.3,7.3
Florida,20,162,82,1,7,0,47,1,0,0,0,0,1308566053.0,75630.0,R,23372215.0,401.0,33.2,12.6,3.8,8.9
Georgia,16,264,538,0,12,4,37,2,0,0,0,0,248600677.0,81210.0,R,11180878.0,185.0,34.6,13.7,3.4,9.9
Hawaii,2,37,43,0,0,0,0,0,0,1,1,1,130881588.0,98240.0,D,1446146.0,226.0,35.3,13.1,2.7,6.9
Idaho,1,0,13,0,0,0,3,0,0,0,0,0,264940700.0,81650.0,R,2001619.0,22.0,30.7,10.5,3.7,7.0
Illinois,15,154,98,1,12,2,38,1,0,1,0,0,402300000.0,84210.0,D,12710158.0,231.0,37.1,15.0,4.4,8.2
Indiana,8,165,97,0,7,0,20,5,0,1,0,0,322123470.0,76710.0,R,6924275.0,189.0,28.9,10.4,3.6,8.4
Iowa,5,9,61,0,2,0,2,0,0,0,1,0,79754057.0,85480.0,R,3241488.0,57.0,30.5,9.9,3.8,6.9
