ALUMINUM_CANS,STEEL_CANS,GLASS_BOTTLES_AND_JARS,PET_BOTTLES,HDPE_BOTTLES,RIGID_PLASTICS
MRF_FACILITIES,MRF_FACILITIES,MRF_FACILITIES,MRF_FACILITIES,MRF_FACILITIES,MRF_FACILITIES
TRANSFER_FACILITIES,TRANSFER_FACILITIES,TRANSFER_FACILITIES,TRANSFER_FACILITIES,TRANSFER_FACILITIES,TRANSFER_FACILITIES
METALS_RECYCLING_FACILITIES,METALS_RECYCLING_FACILITIES,EPR_PACKAGING,EPR_PACKAGING,EPR_PACKAGING,EPR_PACKAGING
EPR_PACKAGING,EPR_PACKAGING,ENVIRONMENTAL_AND_NATURAL_RESOURCES_DEPARTMENT_SPENDING_2015,ENVIRONMENTAL_AND_NATURAL_RESOURCES_DEPARTMENT_SPENDING_2015,ENVIRONMENTAL_AND_NATURAL_RESOURCES_DEPARTMENT_SPENDING_2015,ENVIRONMENTAL_AND_NATURAL_RESOURCES_DEPARTMENT_SPENDING_2015
ENVIRONMENTAL_AND_NATURAL_RESOURCES_DEPARTMENT_SPENDING_2015,ENVIRONMENTAL_AND_NATURAL_RESOURCES_DEPARTMENT_SPENDING_2015,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOUSEHOLD_INCOME
MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOUSEHOLD_INCOME,PARTY_OF_GOVERNOR_MAYOR_FOR_DC,PARTY_OF_GOVERNOR_MAYOR_FOR_DC,PARTY_OF_GOVERNOR_MAYOR_FOR_DC,PARTY_OF_GOVERNOR_MAYOR_FOR_DC
PARTY_OF_GOVERNOR_MAYOR_FOR_DC,PARTY_OF_GOVERNOR_MAYOR_FOR_DC,POPULATION_DENSITY_2020_PER_SQ_MILE,POPULATION_DENSITY_2020_PER_SQ_MILE,POPULATION_DENSITY_2020_PER_SQ_MILE,POPULATION_DENSITY_2020_PER_SQ_MILE
POPULATION_DENSITY_2020_PER_SQ_MILE,POPULATION_DENSITY_2020_PER_SQ_MILE,PERCENT_BACHELORS_OR_HIGHER,PERCENT_BACHELORS_OR_HIGHER,PERCENT_BACHELORS_OR_HIGHER,PERCENT_BACHELORS_OR_HIGHER
PERCENT_BACHELORS_OR_HIGHER,PERCENT_BACHELORS_OR_HIGHER,PERCENT_ADVANCED_DEGREE,PERCENT_ADVANCED_DEGREE,PERCENT_ADVANCED_DEGREE,PERCENT_ADVANCED_DEGREE
PERCENT_ADVANCED_DEGREE,PERCENT_ADVANCED_DEGREE,UNEMPLOYMENT_AUG2025,UNEMPLOYMENT_AUG2025,UNEMPLOYMENT_AUG2025,UNEMPLOYMENT_AUG2025
UNEMPLOYMENT_AUG2025,UNEMPLOYMENT_AUG2025,POVERTY_RATE_PCT,POVERTY_RATE_PCT,POVERTY_RATE_PCT,POVERTY_RATE_PCT
POVERTY_RATE_PCT,POVERTY_RATE_PCT,GLASS_RECYCLING_FACILITY,EPR_PACKAGING,EPR_PACKAGING,EPR_PACKAGING
,,NUMBER_OF_SECONDARY_GLASS_PROCESSORS,PLASTIC_RECYCLING_FACILITIES,PLASTIC_RECYCLING_FACILITIES,PLASTIC_RECYCLING_FACILITIES
