OBJECTID,State,Average_Ti,GlobalID
1,Maryland,66.73,679cb5c8-5794-406c-8995-7cb206ca18b6
2,Iowa,47.07,c89afb64-7c10-46b8-993a-37b305470359
3,Delaware,85,d449dfd6-aca9-4439-bba3-185dfc7f4f7b
4,Ohio,45.39,2f14d505-2ea1-4d6c-a601-e64c2d461d82
5,Pennsylvania,73.45,f853ef92-bae2-424e-9aa1-fa438dbeaf92
6,Nebraska,41.47,55e21836-4622-4ec8-9e7b-64152e856360
7,Washington,95.99,59c7b0cf-175d-4ea1-8f48-180c865c70e1
8,Alabama,32.93,061990f1-b72b-4a05-aab5-b810e4280c76
9,Arkansas,30.53,15981537-1b40-491d-8b6b-fd5a69af5bea
10,New Mexico,38.2,a33a84a2-e4aa-4b44-a96a-17281a78bb88
11,Texas,42.22,db6dcc12-d8dd-4f9c-9ac8-31c20fababe0
12,California,58.48,7f7cbd2c-caf1-45f7-9c76-6885db8c6e25
13,Kentucky,36.32,cda6497f-4180-4c85-b93f-6838d6f99634
14,Georgia,47.88,aa6d3b5a-8860-4809-99cf-05f0a5dc9391
15,Wisconsin,61,7ccefdda-d773-410b-b874-05ca77d9e565
16,Oregon,71.53,e3a108a8-cf79-4f09-bb0c-dfa8e74aae7d
17,Missouri,67.91,8dd3cc2d-f031-4583-99dd-42b6fbd84d24
18,Virginia,53.43,bc6774d0-7666-45a3-becb-b0b93ab0061b
19,Tennessee,51.53,0e65467c-7157-4b6e-9c99-24ee1a59ddde
20,Louisiana,37.53,98b8b70e-82cb-4040-af04-49aff238e5c7
21,New York,71.71,c5c7afe8-af4b-45fd-b849-a44fcf503480
22,Michigan,42.77,d1436de1-8ae7-4a2e-9557-14285bbb6d58
23,Idaho,59.02,1f0e8b9a-2684-46d5-a07f-1aa69a627bd3
24,Florida,56.51,ed632a7e-1baf-4bf0-b1d2-2ab67a9dc882
25,Alaska,142.33,9ad4eb85-b39c-4ee2-b1a6-9d555f67db61
26,Illinois,51.71,eb36b957-c84b-4e34-9890-47b06091394b
27,Montana,32.06,277defe8-8833-47b0-a448-f74d5d2665a1
28,Minnesota,57.78,4ce82a44-e3a0-4705-8807-4f9b6dfb40ca
29,Indiana,36.27,1db76176-1b93-42c2-8b7c-a7e3d2e14677
30,Massachusetts,122.63,c7549b7c-548c-423f-b05c-f40b4dc6a3a3
31,Kansas,42.79,6ff77dfd-37ac-4a98-9b61-6961a7c438f1
32,Nevada,39.9,29c68ab7-8676-49a9-90a8-7d8c113622b6
33,Vermont,101.95,b8bdb9d1-f40c-4fe5-9e1c-f2edcbe6e75d
34,Connecticut,63.5,e3eddf46-b87e-4a06-abba-3852fb08634e
35,New Jersey,78.8,88153d79-8080-47cf-a4c6-8c2e8580495d
36,North Carolina,45.97,201a03bb-9ef4-4356-8a65-a6fed2f1e644
37,Utah,33.8,9a5c7e43-c92c-402d-b212-0dea7903e81d
38,North Dakota,48,a46bfe48-2eaa-4e57-91b9-e5212cbf6ede
39,South Carolina,45.91,5b8a5c3d-e89c-4cb5-8e73-635c5d994f52
40,Mississippi,30.36,ffbd523c-2136-4796-bb4d-4fa1b4deb44e
41,Colorado,58.42,1afeb7d9-71fd-4f57-91c7-01ed0bc56e0b
42,South Dakota,51.22,7975377a-7b96-4495-ab9d-75302095631b
43,Oklahoma,44.76,40691d37-eaec-4883-85d0-194b68973fe6
44,Wyoming,57.64,fbc59805-6bc1-4fbc-96ed-a82a209f3b97
45,West Virginia,54.66,15b8c17e-171b-481c-a1d9-234aefd35fda
46,Maine,75.21,b32d2db6-743a-4b5c-b8ab-ca414121a584
47,Hawaii,114.33,3f4d8313-11de-4c60-93b9-c3b6569b86c5
48,New Hampshire,74.34,cf05e603-807d-4708-b014-1e82042a4296
49,Arizona,44.89,9bd73b69-9cc1-4c99-84dd-032c6e890353
50,Rhode Island,115,951c12c3-92dd-4054-b63a-c47b342c2cd4
